tour,player_name,serve_pts,serve_pts_won,return_pts,return_pts_won,serve_win_pct,return_win_pct,total_win_pct,ras_slow,ras_medium,ras_fast,n_slow,n_medium,n_fast,body_return_pts,cluster,PC1,PC2
ATP,Fabio Fognini,3277,2031,3323,1250,0.6197741837046079,0.3761661149563647,0.49712121212121213,0.9498207885304659,0.9352112676056338,0.8673740053050398,279.0,355.0,377.0,1011.0,6.0,-0.6430970308108109,0.3827922470681453
ATP,Facundo Bagnis,1101,658,1023,349,0.59763851044505,0.3411534701857282,0.474105461393597,0.9428571428571428,0.95,0.9056603773584906,105.0,80.0,53.0,238.0,6.0,-0.17223176664862974,-0.2034955256963053
ATP,Feliciano Lopez,1999,1272,1919,621,0.6363181590795398,0.3236060448150078,0.4831546707503829,0.9625,0.8816568047337278,0.8306451612903226,160.0,169.0,124.0,453.0,5.0,-1.5580989795334503,1.1343003503794353
ATP,Felix Auger Aliassime,2876,1913,3033,1065,0.6651599443671766,0.35113748763600394,0.5039769842612963,0.9560723514211886,0.9280898876404494,0.8623655913978494,387.0,445.0,465.0,1297.0,6.0,-0.6989893906324781,0.5785509519532588
ATP,Fernando Verdasco,2212,1399,2196,818,0.6324593128390597,0.37249544626593806,0.5029491833030852,0.9378531073446328,0.9663461538461539,0.8888888888888888,177.0,208.0,225.0,610.0,6.0,-0.17701733327848795,-0.1509852066763596
ATP,Filip Krajinovic,1231,738,1175,419,0.5995125913891145,0.3565957446808511,0.48088113050706566,1.0,0.9310344827586207,0.9615384615384616,43.0,29.0,26.0,98.0,3.0,0.9344121198909556,0.40041192253400204
ATP,Frances Tiafoe,5818,3822,5874,2186,0.6569267789618426,0.3721484508001362,0.5138556277796784,0.9617083946980854,0.9425287356321839,0.8936170212765957,679.0,696.0,752.0,2127.0,6.0,-0.11544338086433933,0.3303198984942581
ATP,Francisco Cerundolo,1191,725,1147,422,0.6087321578505458,0.3679163034001744,0.490590248075278,1.0,0.9615384615384616,0.9465648854961832,141.0,104.0,131.0,376.0,3.0,1.2184707260254486,0.5134891791693049
ATP,G. Dimitrov,2202,1472,2363,909,0.6684831970935513,0.38468049090139655,0.5215772179627601,,,,,,,,,,
ATP,G. Monfils,1539,988,1530,628,0.6419753086419753,0.41045751633986927,0.5265558813945911,,,,,,,,,,
ATP,G. Simon,1078,683,1108,423,0.6335807050092764,0.38176895306859204,0.505946935041171,,,,,,,,,,
ATP,Gael Monfils,4281,2817,4269,1600,0.6580238262088297,0.37479503396579994,0.516608187134503,0.965034965034965,0.9580645161290322,0.9107806691449815,715.0,620.0,538.0,1873.0,3.0,0.31494656471817706,0.18622507838230462
ATP,Gilles Muller,1340,931,1366,426,0.6947761194029851,0.3118594436310395,0.5014781966001478,0.9693877551020408,0.89937106918239,0.8543046357615894,98.0,159.0,151.0,408.0,5.0,-0.9828835020597668,0.9894133794115323
ATP,Gilles Simon,2067,1293,2070,831,0.625544267053701,0.40144927536231884,0.5134155184916607,0.9012345679012346,0.8,0.7565217391304347,81.0,105.0,115.0,301.0,0.0,-4.308664797107749,0.810187091069082
ATP,Gregoire Barrere,1299,814,1314,444,0.6266358737490377,0.3378995433789954,0.48143895905089934,0.9351851851851852,0.8688524590163934,0.84,108.0,61.0,75.0,244.0,0.0,-2.048659560550036,0.48814519681233776
ATP,Grigor Dimitrov,4869,3278,4976,1917,0.6732388580817417,0.3852491961414791,0.5276790248857288,0.9470013947001394,0.9176706827309237,0.9194991055456172,717.0,498.0,559.0,1774.0,4.0,-0.43190882820436477,-0.2154253435604365
ATP,Guido Pella,2672,1705,2521,846,0.6380988023952096,0.3355811186037287,0.49123820527633355,0.953757225433526,0.935,0.8598726114649682,173.0,200.0,157.0,530.0,6.0,-0.6600079433577193,0.5464518949752668
ATP,Holger Rune,1490,979,1496,495,0.6570469798657718,0.33088235294117646,0.4936369725385131,0.9775280898876404,0.9694323144104804,0.9123711340206185,178.0,229.0,194.0,601.0,3.0,0.6725895389415466,0.40862143948573953
ATP,Hubert Hurkacz,3077,2082,3214,1137,0.6766330841728957,0.3537647790914748,0.5116833571769194,0.9698630136986301,0.9480122324159022,0.9245283018867925,365.0,327.0,371.0,1063.0,3.0,0.37638766476155766,0.15268820418971354
ATP,Hyeon Chung,1261,795,1290,478,0.6304520222045995,0.3705426356589147,0.49901999215993725,0.9444444444444444,0.927007299270073,0.8849557522123894,162.0,137.0,113.0,412.0,6.0,-0.6688097042029669,0.09321884309493363
ATP,I. Karlovic,1447,1057,1367,336,0.7304768486523843,0.24579370885149962,0.49502487562189057,,,,,,,,,,
ATP,Ilya Ivashka,1737,1113,1737,656,0.6407599309153713,0.3776626367299942,0.5092112838226828,0.9664429530201343,0.9759036144578314,0.9139072847682119,149.0,166.0,151.0,466.0,3.0,0.615292897315138,0.15181076780802152
ATP,Ivo Karlovic,1593,1166,1617,404,0.7319522912743252,0.24984539270253556,0.48909657320872274,0.8817204301075269,0.85,0.8163265306122449,93.0,60.0,49.0,202.0,0.0,-3.3231508436602795,-0.3287009019007435
ATP,J Sinner,1073,672,1102,458,0.6262814538676608,0.41560798548094374,0.5195402298850574,,,,,,,,,,
ATP,J. Chardy,1013,650,1041,337,0.6416584402764067,0.32372718539865514,0.48052580331061345,,,,,,,,,,
ATP,J. Del Potro,1323,875,1407,551,0.6613756613756614,0.3916133617626155,0.5223443223443224,,,,,,,,,,
ATP,J. Isner,931,709,1002,276,0.761546723952739,0.2754491017964072,0.5095706156233833,,,,,,,,,,
ATP,J. Millman,1237,753,1089,409,0.608730800323363,0.3755739210284665,0.4995700773860705,,,,,,,,,,
ATP,J. Struff,1117,706,1049,385,0.6320501342882722,0.36701620591039086,0.5036934441366574,,,,,,,,,,
ATP,Jack Draper,1808,1176,1680,627,0.6504424778761062,0.3732142857142857,0.5169151376146789,0.9772727272727273,0.9803149606299213,0.9737827715355806,264.0,254.0,267.0,785.0,1.0,1.408169386885172,-0.2847705252514848
ATP,Jack Sock,2452,1600,2461,868,0.6525285481239804,0.35270215359609913,0.5023407286790149,0.9104477611940298,0.9130434782608695,0.8153310104529616,268.0,230.0,287.0,785.0,0.0,-2.0284498628919705,0.17258178581133016
ATP,James Duckworth,1721,1060,1613,530,0.6159209761766414,0.328580285182889,0.47690461907618475,0.9488636363636364,0.9704142011834319,0.94,176.0,169.0,150.0,495.0,1.0,0.5299393405724654,-0.4876186839841257
ATP,Jan Lennard Struff,2771,1821,2752,922,0.6571634788884879,0.33502906976744184,0.496650371175086,0.9512195121951219,0.8990825688073395,0.8713692946058091,164.0,218.0,241.0,623.0,6.0,-1.0903278985759375,0.42773683450238853
ATP,Jannik Sinner,4350,2932,4689,1895,0.6740229885057472,0.40413734271699725,0.5340192499170262,0.9797979797979798,0.9341317365269461,0.9235836627140975,594.0,668.0,759.0,2021.0,3.0,0.3187111427041303,0.3914677181757826
ATP,Jason Kubler,1251,781,1168,409,0.6243005595523581,0.3501712328767123,0.4919388176932617,0.9910714285714286,0.979381443298969,0.8850574712643678,112.0,97.0,87.0,296.0,3.0,0.7495254658545213,0.9705055775431636
ATP,Jaume Munar,1551,905,1590,594,0.5834945196647324,0.37358490566037733,0.47723654886978667,0.9926470588235294,0.9617834394904459,0.9553571428571429,136.0,157.0,112.0,405.0,1.0,1.1980767227382378,0.2649936271026965
ATP,Jenson Brooksby,1343,809,1310,553,0.6023827252419955,0.4221374045801527,0.5133810780248775,0.9874476987447699,0.9166666666666666,0.9448275862068966,239.0,144.0,145.0,528.0,4.0,0.38937980644937936,0.3467418081967608
ATP,Jeremy Chardy,1704,1082,1639,512,0.6349765258215962,0.312385600976205,0.4768172300329046,0.9038461538461539,0.9078947368421053,0.8165137614678899,52.0,152.0,109.0,313.0,0.0,-2.1860809258606424,0.03156946914651069
ATP,Jiri Lehecka,1130,734,1145,408,0.6495575221238938,0.3563318777292576,0.501978021978022,0.9747899159663865,0.9562043795620438,0.9578947368421052,119.0,137.0,95.0,351.0,1.0,0.8822692446445489,-0.12299118417325736
ATP,Jiri Vesely,3127,2054,3003,980,0.6568596098496962,0.32634032634032634,0.49494290375203914,0.9939024390243902,0.9294117647058824,0.8780487804878049,164.0,255.0,164.0,583.0,3.0,0.02431186870301432,1.1880011318708588
ATP,Jo Wilfried Tsonga,1787,1233,1829,668,0.6899832120872972,0.3652268999453253,0.5257190265486725,0.9723756906077348,0.9520295202952029,0.9323843416370107,181.0,271.0,281.0,733.0,3.0,0.5445832567183625,0.11232371414281656
ATP,Joao Sousa,1922,1183,1955,689,0.6155046826222684,0.3524296675191816,0.48284756254836214,0.9280575539568345,0.9067796610169492,0.8928571428571429,139.0,118.0,140.0,397.0,6.0,-1.116920585426168,-0.2987106578998997
ATP,John Isner,4419,3249,4621,1370,0.7352342158859471,0.29647262497294957,0.5109513274336284,0.8726235741444867,0.8961593172119487,0.8485370051635112,526.0,703.0,581.0,1810.0,2.0,-2.502344069110865,-0.9445770776680023
ATP,John Millman,2298,1457,2310,871,0.634029590948651,0.37705627705627703,0.5052083333333334,0.9626556016597511,0.9281437125748503,0.8698224852071006,241.0,167.0,169.0,577.0,6.0,-0.530403107689383,0.6333082404403472
ATP,Jordan Thompson,3627,2310,3684,1330,0.6368899917287014,0.36102062975027144,0.49787990698946794,0.9691358024691358,0.9420289855072463,0.914364640883978,324.0,345.0,362.0,1031.0,3.0,0.1847966055531284,0.2584224069907539
ATP,Juan Martin Del Potro,1627,1125,1788,686,0.6914566687154272,0.383668903803132,0.5303074670571011,0.9619771863117871,0.9377593360995851,0.8823529411764706,263.0,241.0,255.0,759.0,6.0,-0.2859436177520757,0.46666908966480086
ATP,K. Anderson,1172,786,1173,413,0.6706484641638225,0.35208866155157714,0.5113006396588486,,,,,,,,,,
ATP,K. Edmund,1487,968,1478,529,0.6509751176866173,0.35791610284167796,0.5048903878583474,,,,,,,,,,
ATP,K. Khachanov,1987,1299,2042,800,0.653749370910921,0.3917727717923604,0.5209729461404815,,,,,,,,,,
ATP,K. Nishikori,1656,1071,1690,666,0.6467391304347826,0.3940828402366864,0.5191273161984459,,,,,,,,,,
ATP,Karen Khachanov,4689,3109,4815,1691,0.6630411601620815,0.35119418483904463,0.5050505050505051,0.974293059125964,0.9133663366336634,0.8154761904761905,389.0,404.0,504.0,1297.0,5.0,-1.0860421575103703,1.4915410655742403
ATP,Kei Nishikori,4150,2654,4179,1647,0.6395180722891566,0.39411342426417806,0.5163885220314564,0.9424083769633508,0.91,0.8660907127429806,382.0,500.0,463.0,1345.0,6.0,-1.117137495525543,0.28501052962765583
ATP,Kevin Anderson,3859,2769,3988,1272,0.7175434050272091,0.31895687061183553,0.5149738753663821,0.9384164222873901,0.8791593695271454,0.8221830985915493,341.0,571.0,568.0,1480.0,0.0,-2.0272105387431942,0.7324293358138777
ATP,Kyle Edmund,2164,1393,2165,790,0.6437153419593346,0.3648960739030023,0.5042735042735043,0.9264705882352942,0.8901098901098901,0.8830188679245283,204.0,182.0,265.0,651.0,0.0,-1.4676627445958133,-0.1966877034293506
ATP,L. Mayer,1091,733,1159,396,0.6718606782768103,0.34167385677308026,0.5017777777777778,,,,,,,,,,
ATP,L. Pouille,1445,981,1521,540,0.6788927335640138,0.35502958579881655,0.5128118678354686,,,,,,,,,,
ATP,Laslo Djere,2503,1593,2464,842,0.6364362764682381,0.3417207792207792,0.490235554660761,0.9668508287292817,0.9037037037037037,0.7633587786259542,181.0,135.0,131.0,447.0,5.0,-1.828619982763516,1.922219762847592
ATP,Liam Broady,1161,698,1156,435,0.6012058570198106,0.3762975778546713,0.4889943892965041,0.9296875,0.9675675675675676,0.8740157480314961,128.0,185.0,127.0,440.0,6.0,-0.42183538331750103,-0.15965824134888112
ATP,Lloyd Harris,1766,1170,1897,647,0.6625141562853907,0.3410648392198208,0.49604149604149606,0.9259259259259259,0.8436018957345972,0.8267326732673267,162.0,211.0,202.0,575.0,0.0,-2.664875325280334,0.48298952977871845
ATP,Lorenzo Musetti,2398,1552,2462,915,0.6472060050041701,0.3716490658001625,0.5076131687242799,0.9672727272727273,0.8615384615384616,0.8533333333333334,275.0,130.0,300.0,705.0,5.0,-1.5529830243208884,1.0186609082253115
ATP,Lorenzo Sonego,2079,1331,2115,743,0.6402116402116402,0.3513002364066194,0.4945159752026705,0.9492753623188406,0.9022556390977443,0.9038461538461539,138.0,133.0,104.0,375.0,4.0,-0.7640197401333583,0.02787020217042156
ATP,Lucas Pouille,2918,1871,2879,1046,0.6411925976696368,0.36332059742966305,0.5031913058478523,0.9020771513353115,0.8766666666666667,0.8508064516129032,337.0,300.0,248.0,885.0,0.0,-2.3215890591050843,-0.3277371818914166
ATP,M. Berrettini,998,678,1021,343,0.6793587174348698,0.33594515181194906,0.5056958890539871,,,,,,,,,,
ATP,M. Cecchinato,1150,736,1121,409,0.64,0.3648528099910794,0.5041831792162044,,,,,,,,,,
ATP,M. Cilic,2645,1820,2889,1098,0.6880907372400756,0.38006230529595014,0.5272858691723888,,,,,,,,,,
ATP,M. Fucsovics,1372,867,1447,576,0.6319241982507289,0.3980649619903248,0.511883646683221,,,,,,,,,,
ATP,M. Marterer,1076,723,1040,361,0.6719330855018587,0.3471153846153846,0.5122873345935728,,,,,,,,,,
ATP,M. Raonic,1156,839,1160,379,0.7257785467128027,0.3267241379310345,0.5259067357512953,,,,,,,,,,
ATP,Mackenzie McDonald,2090,1331,1993,687,0.6368421052631579,0.34470647265429,0.4942444281165809,0.9629629629629629,0.9333333333333333,0.8981481481481481,135.0,135.0,108.0,378.0,6.0,-0.1825044669168319,0.3220027898664095
ATP,Marco Cecchinato,1143,673,1100,341,0.5888013998250219,0.31,0.45207311636201514,0.8762886597938144,0.9178082191780822,0.8787878787878788,97.0,73.0,66.0,236.0,2.0,-1.8563044625090428,-1.234566611780096
ATP,Marcos Baghdatis,1043,657,1092,371,0.6299137104506232,0.33974358974358976,0.48149882903981267,0.963855421686747,0.9225352112676056,0.8854961832061069,83.0,142.0,131.0,356.0,6.0,-0.4415448493303328,0.4963476111496647
ATP,Marcos Giron,1808,1124,1804,606,0.6216814159292036,0.33592017738359203,0.4789590254706534,0.9856115107913669,0.9253731343283582,0.9814814814814815,139.0,134.0,108.0,381.0,4.0,0.8346802445042774,-0.10560121642222925
ATP,Marin Cilic,4438,2960,4565,1757,0.6669671022983326,0.38488499452354874,0.5239364656225702,0.9290123456790124,0.9210526315789473,0.871841155234657,648.0,722.0,554.0,1924.0,6.0,-1.1038985407695396,-0.07316304526944303
ATP,Marton Fucsovics,2936,1817,2951,1095,0.6188692098092643,0.37106065740426974,0.4946492271105826,0.9647058823529412,0.9506172839506173,0.8803088803088803,255.0,243.0,259.0,757.0,6.0,-0.08539654500987406,0.524225046548
